promotion_id,description,description_en,bad
1NWLAzBwCUadj2dLNYVrTib3XuTL0T,ซาลาปัง จัดใหญ่แทนใจคนที่คุณรัก,"Salapang, a big treat for the heart of your loved one.",0
1NWLD3dp7tdq34WkgzQGLiPQM7dFC5,"ทะเลทะลัก!! สุดยอดบุฟเฟ่ต์ทะเล ที่คุณไม่ควรพลาด





ลดสูงสุด 60% จากราคา 1900 บาทสุทธิ! จองเลย


วันศุกร์และวันเสาร์ ตั้งแต่เวลา 18.00-22.00 น.


ราคานี้รวมชา กาแฟร้อนไม่อั้น น้ำอัดลม


สมาชิกแอคคอร์พลัสรับส่วนลดออนท็อปอีก 10%","The sea is overflowing!! Best seafood buffet that you shouldn't miss





Up to 60% off from the price of 1900 baht net! Book now


Friday and Saturday from 6:00 p.m. - 10:00 p.m.


This price includes unlimited hot coffee, tea, and soft drinks.


Accor Plus members receive an additional 10% on-top discount.",0
1NWLCHgnVeBb2TIup13b1RSOLOl3Cq,"บัตรสมาชิก By อ.กุ้งเผาโคราช



บัตรสมาชิกจำหน่ายในราคา 149.-



เมื่อสมัครบัตร รับฟรี เครื่องดื่มเย็น 1 แก้ว (23 ออนซ์)







สิทธิ์พิเศษสำหรับบัตรสมาชิก



*รับส่วนลด 10% จากราคาปกติ



*(ยกเว้นเมนูโปรโมชั่นและเครื่องดื่ม)



*บัตรนี้ไม่สามารถใช้ร่วมกับรายการส่งเสริมการขายอื่นๆ ได้



*สามารถใช้ได้ที่ร้าน อ.กุ้งเผา ทุกสาขา



*กรณีใช้ร่วมกับบัตรเครดิตต่างๆ ไม่มีส่วนลด



*บัตรทีใช้ได้เมื่อชำระเป็นเงินสด และทานที่ร้านเท่านั้น



*บัตรสมาชิกจะมีอายุ 1 ปี หลังจากที่สมัคร","Membership card by A.Kungpao Korat



Membership cards are sold at a price of 149.-



When you apply for the card, receive 1 free cold drink (23 ounces)







Special rights for membership cards



*Get 10% discount from normal price.



*(except promotional menu and drinks)



*This card cannot be used in conjunction with other promotional programs.



*Can be used at all A.Kungpao stores.



*If used in conjunction with various credit cards, there is no discount.



*Cards that can be used when paying in cash and eat at the restaurant only



*Membership card is valid for 1 year after application.",1
1NWLC9rEila7y7EyYKPp17zCMkjHs2,สาวกเพื่อสุขภาพครับ,Followers for health,1
1NWLCUe1qEBZtZEwInmjdBoce8XBF2,"วันเกิด แจ้งพนักงาน รับฟรีฮันนีโทส1จานค่ะ



","On your birthday, inform the staff and receive a free plate of honey toast.



",0
1NWLC9g0nfGqwDLV0jzcb8Q6Ys3ZBT,ร้านน่ารัก ๆ,cute shop,1
1NWLAyIft6FUB8MT4aK0IKjLsaN70y,"โปรโมชั่นวันเกิด แสดงบัตรประจำตัวประชาชนตรงกับวันเกิดรับส่วนลดทันที 10% ไม่มีวันหมดอายุ!!!!


","birthday promotion Show your ID card on your date of birth and receive an immediate 10% discount. No expiration date!!!!


",0
1NWLBEnYhTJOdIuQCdW8RgVh5yXBDZ,ชานม,Milk tea,1
1NWLDLTHIVeRaUZVvLobx8BeU4nrw1,ซื้อ 10 แก้ว ฟรี 1 แก้วค่ะ 😁,Buy 10 glasses get 1 free 😁,1
1NWLCTNe0amJfILF8cozH9UUZEEmfR,"สลัดเป็ด ซอสส้ม


","Duck Salad, Orange Sauce


",1
1NWLDEU57oufwMaDzQbKkwNCIIhDqw,มาเถอะ เมนูหาเส้น,"Come on, find the menu.",1
1NWLCLNFIulBmi0SiuTsWRAgDYVAYR,สั่งหอยแครงลวกวันนี้ ราคา 150บาท ลดทันที20% ค่ะ ฉะเพราะสาขา ชีคอนเท่านั้น,"Order boiled cockles today, price 150 baht, immediate discount of 20%, only at Chikon branch.",0
1NWLDCu3RlA3Y00U1h6SAUVpOlySfe,สะสมแสตมป์ 10 แก้ว รับฟรี 1 แก้ว,Collect 10 stamps and get 1 free.,1
1NWLCI9jNUT0rDoCsJXQ9Sm7AQLH19,"โปรโมชั่นวันพุธ ซื้อเครื่องดื่ม 2 แก้ว เพียง 100 บาท 


ที่ร้านใบหอม @ ยูดีไลท์คอนโดห้วยขวาง ถ.ประชาอุทิศ


(ยกเว้นเมนูปั่น)","Wednesday promotion Buy 2 drinks for only 100 baht


At Bai Hom Shop @ U Delight Condo Huai Khwang, Pracha Uthit Rd.


(except smoothie menu)",0
1NWLAZ8aVn5ddsOK0itV9hEfg3tFdv,ยำหัวปลี กับข้าวเกรียบ,Banana blossom salad with rice crackers,1
1NWLCAAGekw9uuVviBnzBNawVBhHnh,"โปรโมชั่นพิเศษสุดคุ้ม 



ซื้อ 1 โต๊ะ ฟรี 1 โต๊ะ กับโต๊ะจีนฮ่องเต้ความอร่อยระดับ 5 ดาว ด้วยวัตถุดิบชั้นเลิศ 



หลากหลายเมนูความอร่อย ทั้ง เป็ดปักกิ่ง, หูฉลามกระเพาะปลาสด, เป๋าฮื้อแอฟริกาเห็ดหอมผักกาดแก้ว, ปลาเก๋าเสือนึ่งซีอิ้ว, บัวลอยน้ำขิง เป็นต้น 



ในราคาโต๊ะละ 18,000 บาท++ 



ณ ห้องอาหารจีนหยู เห้อ บริการทั้งมื้อกลางวัน 11.30 น. - 14.30 น. 



และ มื้อค่ำ 18.00 น. - 22.30 น","Special promotion, great value



Buy 1 table, get 1 free with the Emperor's Chinese table, 5-star deliciousness with the finest ingredients.



A variety of delicious dishes, including Peking duck, fresh fish maw shark fin, African abalone, shiitake mushrooms, iceberg lettuce, steamed tiger grouper with soy sauce, ginger bua loy, etc.



At a price of 18,000 baht++ per table.



At Yu He Chinese Restaurant, lunch is served from 11:30 a.m. - 2:30 p.m.



and dinner 6:00 p.m. - 10:30 p.m.",0
1NWLBo3iRy3Gr5pyZsxzE7CEUGi02q,,,0
1NWLDD8hn3EWM4GAaWyfLjIxGj8SaT,สั่งกระเพราะไก่แถมไข่ดาวหนึ่งใบครับ,Order chicken basil and get one fried egg.,1
1NWLBHUwuq0UqWEMNFISRVu5k3OYfm,,,0
1NWLDAMxfoR2FSFtZcLovsCFPxqPHx,"โปรฯ ""คน มัน ใหม่"" แจกให้กินฟรี 500 บาท 100 รางวัล!! 





เราเพิ่งเปิดร้านใหม่จะรู้ได้ไงว่าเราอร่อยจริง เราเลยแจก ให้คุณกินฟรี 500 บาท 100 รางวัล เพื่อให้มากินให้รู้ไปเลยว่าร้านเราเด็ดดวงแค่ไหน 





เงื่อนไข


1.เพียงแค่ คุณ Like และ Comment Tag เพื่อนที่อยากกินกุ้งด้วยกันที่หน้า Post ใน facebook page ร้าน





2.เราจะประกาศผลผู้โชคดีภายใน 30 กันยายน นี้ (โดยการ inbox กลับไป)





3.ใช้ได้ทั้งมากินที่ร้านหรือให้ไปส่งที่บ้านก็ได้ (ไม่รวมค่าส่ง)





**ร้านเปิด 11.00-23.00 (ครัวปิด 22.00)**


---------------------------------------------------------


สำหรับ Delivery 👇วิธีการสั่ง👇


📱สั่งผ่าน Lineman ได้เลยนะครับ หาคำว่า ""คนมันกุ้ง"" ง่ายๆอิ่มอร่อยสบายอยุ่บ้านได้เลยจ้า 


หรือจะโทร ไลน์ ผ่านให้ทางร้านจัดการให้ก็ได้ครับ ** รับออเดอร์ 11.00 - 22.00 เท่านั้นนะครับ **


---------------------------------------------------------


🦐 Follow us 🦐


Line : @konmunkung


Facebook : konmunkung


โทร : 064 414 7844





แผนที่ร้าน : ร้านอยู่ในโครงการ Tree square ทาวน์ อิน ทาวน์


📌📌https://goo.gl/maps/DXTAh5Z4jds





#คนมันกุ้ง #konmunkung


#คนมันกุ้งอยู่ในโครงการTreesquareทาวน์อินทาวน์


#ทาวน์อินทาวน์ #Townintown


#treesquare","""Khon Man Mai"" promotion gives away free food worth 500 baht, 100 prizes!!





We've just opened a new shop. How do we know that we're really delicious? So we're giving away 500 baht to you for free, 100 prizes, so that you can come eat and know how good our restaurant is.





condition


1. Just Like and Comment Tag friends who want to eat shrimp together on the Post page on the shop's facebook page.





2. We will announce the lucky winner within 30 September (by inboxing back).





3. Can be used to eat at the restaurant or have it delivered to your home. (not including shipping costs)





**Shop open 11.00-23.00 (Kitchen closes 22.00)**


-------------------------------------------------- -------


For Delivery 👇How to order👇


📱You can order through Lineman. You can easily find the word ""shrimp person"" and feel full, delicious and comfortable at home.


Or you can call Line and let the shop handle it for you. ** Accepting orders from 11.00 - 22.00 only **


-------------------------------------------------- -------


🦐 Follow us 🦐


Line : @konmunkung


Facebook : konmunkung


Tel: 064 414 7844





Store map: The store is in the Tree Square Town in Town project.


📌📌https://goo.gl/maps/DXTAh5Z4jds





#konmunkung #konmunkung


#Shrimp man is in the Treesquare Town in Town project.


#TowninTown #Townintown


#treesquare",1
1NWLB0W9lt3khownz2QmDuTQClvyib,"ฉลองวันแม่กับบ้านนินตรา มียำสายบัวให้คุณแม่ทุกโต๊ะ ฟรี


ตั้งแต่วันที่ 10-13 สค. นี้  ....แล้วพบกันนะคะ


","Celebrate Mother's Day with Baan Nintra There is free lotus stem salad for mothers at every table.


From 10-13 Aug....see you then.


",0
